Timestamp,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,ColonialCasualityRate,SteamPlayers,SquaredWinMargin
2025-02-15 08:39:01,160,209,291601,272705,4037,3612,4607,25281
2025-02-15 09:09:01,160,208,294081,274762,4931,4126,4748,25281
2025-02-15 09:39:01,160,208,296835,276917,5489,4351,4859,25281
2025-02-15 10:09:01,162,207,299767,278933,5736,3959,5007,25281
2025-02-15 10:39:01,161,208,302288,280763,4817,3448,5189,25281
2025-02-15 11:09:02,162,206,304779,282753,5179,4215,5193,25281
2025-02-15 11:40:01,163,206,307111,284677,4642,3787,5195,25281
2025-02-15 12:10:01,164,205,309344,286869,4587,4537,5205,25281
2025-02-15 12:40:01,164,205,311766,288968,4557,3972,5191,25281
2025-02-15 13:10:02,164,205,314297,291333,5366,5036,5092,25281
2025-02-15 13:41:01,164,205,316743,293431,4600,3946,4914,25281
2025-02-15 14:11:01,164,205,318560,295297,3712,3818,4655,25281
2025-02-15 14:41:01,165,204,320302,297137,3390,3552,4395,25281
2025-02-15 15:11:01,164,205,322179,298925,3519,3325,4205,25281
2025-02-15 15:41:01,164,205,324003,300721,3536,3568,3990,25281
2025-02-15 16:11:01,165,204,325580,302162,3355,3032,3830,25281
2025-02-15 16:41:02,164,205,326779,303408,2343,2417,3580,25281
2025-02-15 17:12:01,164,205,328096,304687,2649,2545,3417,25281
2025-02-15 17:42:01,164,205,329483,305930,2576,2374,3301,25281
2025-02-15 18:12:01,163,205,330954,307498,2805,2944,3190,25281
2025-02-15 18:42:01,162,207,332645,309076,3191,3147,3150,25281
2025-02-15 19:12:01,162,207,334225,310675,3186,3211,3018,25281
2025-02-15 19:42:01,162,207,335837,312109,3155,2779,2981,25281
2025-02-15 20:12:01,162,207,337452,313584,3029,2782,2939,25281
2025-02-15 20:42:01,161,208,339046,314902,3102,2617,2947,25281
2025-02-15 21:12:01,162,207,340561,316112,2874,2311,2846,25281
2025-02-15 21:42:01,162,207,341791,317186,2349,2102,2778,25281
2025-02-15 22:12:01,161,208,342895,318414,2270,2533,2675,25281
2025-02-15 22:42:01,161,208,343996,319524,2307,2374,2615,25281
2025-02-15 23:12:01,161,208,345102,320570,2198,2089,2576,25281
2025-02-15 23:42:01,161,207,346112,321367,1921,1556,2502,25281
2025-02-16 00:12:01,162,207,346960,322298,1662,1842,2449,25281
2025-02-16 00:42:01,162,207,347757,323188,1639,1825,2563,25281
2025-02-16 01:12:01,163,206,348733,324176,1802,1789,2620,25281
2025-02-16 01:42:01,163,206,349897,325258,2327,2141,2788,25281
2025-02-16 02:12:01,163,206,351149,326424,2405,2217,2893,25281
2025-02-16 02:42:01,162,207,352326,327538,2272,2151,3032,25281
2025-02-16 03:12:01,160,208,353534,328736,2328,2367,3085,25281
2025-02-16 03:42:01,158,210,354684,329671,2423,1914,3291,25281
2025-02-16 04:12:01,158,211,355915,330589,2473,1847,3474,25281
2025-02-16 04:42:01,159,210,357353,331650,2938,2177,3593,25281
2025-02-16 05:12:01,158,211,359143,333035,3492,2632,3785,25281
2025-02-16 05:42:01,157,211,360861,334199,3294,2271,3896,25281
2025-02-16 06:12:01,156,213,362361,335525,2906,2613,4010,25281
2025-02-16 06:42:01,156,213,363967,336901,3055,2721,4236,25281
2025-02-16 07:12:01,155,214,365998,338987,3970,4117,4295,25281
2025-02-16 07:42:01,155,214,368078,341197,4192,4482,4467,25281
2025-02-16 08:12:01,154,215,370125,343410,3439,3749,4647,25281
2025-02-16 08:42:01,154,215,372116,345207,4066,3659,4729,25281
2025-02-16 09:12:01,154,215,373816,346711,3333,2909,4824,25281
2025-02-16 09:42:01,154,215,375716,348540,3765,3646,4941,25281
2025-02-16 10:12:01,154,215,377632,350618,3573,3948,5008,25281
2025-02-16 10:42:01,154,214,379515,352680,3308,3544,5164,25281
2025-02-16 11:12:02,154,215,381791,354635,4311,3609,5227,25281
2025-02-16 11:43:01,155,214,383960,356880,3863,4000,5261,25281
2025-02-16 12:13:01,155,214,386090,358833,4236,3817,5214,25281
2025-02-16 12:43:01,154,214,388302,360805,4493,3978,5059,25281
2025-02-16 13:13:01,153,216,390627,363144,4426,4527,4908,25281
2025-02-16 13:43:01,153,216,392897,365255,4590,4203,4627,25281
2025-02-16 14:14:01,151,218,395119,367182,4341,3758,4412,25281
2025-02-16 14:44:01,151,218,396676,369028,3027,3772,4147,25281
2025-02-16 15:14:01,151,218,398444,371035,3542,4024,3946,25281
2025-02-16 15:44:02,152,217,400293,373026,3497,3733,3702,25281
2025-02-16 16:15:01,152,217,401900,374774,2796,3020,3540,25281
2025-02-16 16:45:01,152,217,403166,375968,2733,2521,3408,25281
2025-02-16 17:15:02,150,219,404938,377355,3595,2839,3277,25281
2025-02-16 17:46:01,148,221,406608,378893,3108,2834,3226,25281
2025-02-16 18:16:01,147,222,408251,380274,3027,2664,3153,25281
2025-02-16 18:46:01,146,223,409959,381693,3429,2849,3047,25281
2025-02-16 19:16:01,146,223,411200,383061,2526,2795,2921,25281
2025-02-16 19:46:01,144,224,412419,384352,2384,2557,2836,25281
2025-02-16 20:16:01,144,225,413601,385718,2277,2645,2641,25281
2025-02-16 20:46:01,144,224,414671,386927,2059,2245,2493,25281
2025-02-16 21:16:01,144,224,415699,388076,2082,2346,2416,25281
2025-02-16 21:46:01,143,226,416764,389169,2140,2205,2332,25281
2025-02-16 22:16:02,141,228,417633,390290,1663,2017,2116,25281
2025-02-16 22:47:01,142,227,418386,391187,1449,1684,2055,25281
2025-02-16 23:17:01,142,227,419048,391786,1344,1205,1958,25281
2025-02-16 23:47:01,144,223,419708,392490,1307,1384,1935,25281
2025-02-17 00:17:01,143,223,420340,393156,1234,1312,1944,25281
2025-02-17 00:47:01,146,223,421042,393811,1401,1308,1998,25281
2025-02-17 01:17:01,146,222,421736,394402,1375,1172,1998,25281
2025-02-17 01:47:01,146,223,422491,395098,1522,1386,2052,25281
2025-02-17 02:17:01,145,224,423241,395801,1502,1413,2049,25281
2025-02-17 02:47:01,144,224,423784,396327,1050,1011,2132,25281
2025-02-17 03:17:01,143,226,424310,396893,1075,1155,2170,25281
2025-02-17 03:47:01,143,225,425028,397671,1444,1577,2275,25281
2025-02-17 04:17:01,144,225,425833,398409,1615,1476,2423,25281
2025-02-17 04:47:01,144,225,426718,399140,1728,1480,2577,25281
2025-02-17 05:17:01,143,226,427600,400031,1762,1739,2620,25281
2025-02-17 05:47:01,141,226,428440,400944,1659,1827,2750,25281
2025-02-17 06:17:01,142,226,429357,401841,1807,1779,2898,25281
2025-02-17 06:47:01,141,227,430358,402974,2051,2331,3144,25281
2025-02-17 07:17:02,141,227,431256,403858,1802,1813,3205,25281
2025-02-17 07:48:01,141,226,432602,405097,2692,2478,3436,25281
2025-02-17 08:18:01,141,227,434294,406454,3446,2756,3692,25281
2025-02-17 08:48:01,141,228,435837,407961,3024,3030,3899,25281
2025-02-17 09:18:01,141,227,437389,409822,3221,3917,4079,25281
2025-02-17 09:48:01,141,227,439065,411593,3496,3678,4180,25281
2025-02-17 10:18:01,141,228,440923,413462,4205,4255,4258,25281
2025-02-17 10:48:01,142,227,442485,415365,3162,3825,4421,25281
2025-02-17 11:18:01,142,227,444213,417213,3557,3887,4474,25281
